model,turbine,lead_bucket,n,mae,rmse
selected,T1,1-24,8346,0.2623198284950656,0.32751665638514865
selected,T1,25-48,8307,0.29576495612078846,0.3519652721870784
selected,T2,1-24,8323,0.26316691015665117,0.32945026261796306
selected,T2,25-48,8287,0.2965351704068439,0.35352948368629517
training_mean,T1,1-24,8346,0.3124282897759651,0.3519982273255786
training_mean,T1,25-48,8307,0.3110581318278201,0.35041860566892863
training_mean,T2,1-24,8323,0.31218781011762003,0.3516645059812342
training_mean,T2,25-48,8287,0.3105315156568504,0.3498094319904004
persistence,T1,1-24,8346,0.3058820592699097,0.4223980607771252
persistence,T1,25-48,8307,0.3713857790618354,0.48273326337493067
persistence,T2,1-24,8323,0.30373583243221597,0.4216645094407407
persistence,T2,25-48,8287,0.3674508265958731,0.47909145208145504
arima_201,T1,1-24,8346,0.2748134808466339,0.32966972893276447
arima_201,T1,25-48,8307,0.30559082155581746,0.35223329770956757
arima_201,T2,1-24,8323,0.27559456624441525,0.32986677363872563
arima_201,T2,25-48,8287,0.30693998631199554,0.35277393700657983
autoarima,T1,1-24,8346,0.27758240050163857,0.3454332443718073
autoarima,T1,25-48,8307,0.31447179629816213,0.3738658686291281
autoarima,T2,1-24,8323,0.27441621809444905,0.34037777938860914
autoarima,T2,25-48,8287,0.31308996524695165,0.3716367350525774
catboost_multi4,T1,1-24,8346,0.2767170933667247,0.32435877311686084
catboost_multi4,T1,25-48,8307,0.3058381149508429,0.34805534667284715
catboost_multi4,T2,1-24,8323,0.27839033686874787,0.325947351899391
catboost_multi4,T2,25-48,8287,0.30748285651147894,0.3492147317929379
catboost_multi6,T1,1-24,8346,0.27662046282605435,0.3251175971969839
catboost_multi6,T1,25-48,8307,0.30590146897097453,0.3480596231853376
catboost_multi6,T2,1-24,8323,0.278416835552512,0.32684685873307684
catboost_multi6,T2,25-48,8287,0.3076113092382847,0.34951436126910523
catboost_neighbor,T1,1-24,8346,0.27544275279638203,0.3235767255915866
catboost_neighbor,T1,25-48,8307,0.30404055643016104,0.34588858371263964
catboost_neighbor,T2,1-24,8323,0.27732733194733344,0.32524040845279223
catboost_neighbor,T2,25-48,8287,0.30621319912002287,0.347605290330039
catboost_pooled,T1,1-24,8346,0.2851798915423694,0.328714182543575
catboost_pooled,T1,25-48,8307,0.3066295407335422,0.348163311923672
catboost_pooled,T2,1-24,8323,0.2871554300934746,0.3306272588404502
catboost_pooled,T2,25-48,8287,0.30740012019693774,0.348817403743477
chronos2_base,T1,1-24,8346,0.2746395083067564,0.36762266607435135
chronos2_base,T1,25-48,8307,0.3155556469691957,0.3993424685377226
chronos2_base,T2,1-24,8323,0.27464074472428757,0.3693080586874044
chronos2_base,T2,25-48,8287,0.31497536448996555,0.3983173538683921
chronos2_small,T1,1-24,8346,0.2740776463039769,0.3667182011810638
